id,date,user,pc,activity
{X1D9-S0ES98JV-5357PWMI},01/02/2010 06:49:00,NGF0157,PC-6056,Logon
{G2B3-L6EJ61GT-2222RKSO},01/02/2010 06:50:00,LRR0148,PC-4275,Logon
{U6Q3-U0WE70UA-3770UREL},01/02/2010 06:53:04,LRR0148,PC-4124,Logon
{I0N5-R7NA26TG-6263KNGM},01/02/2010 07:00:00,IRM0931,PC-7188,Logon
{D1S0-N6FH62BT-5398KANK},01/02/2010 07:00:00,MOH0273,PC-6699,Logon
{S6P1-M4MK04BB-0722IITW},01/02/2010 07:07:00,LAP0338,PC-5758,Logon
{M6O6-F9UU11TJ-2166YVFU},01/02/2010 07:08:00,MHH0180,PC-9822,Logon
{D0P1-U5IU49QG-5472TMLI},01/02/2010 07:08:00,NOB0181,PC-3446,Logon
{F9K3-Q1PD92IU-5821IGXW},01/02/2010 07:13:00,AHC0142,PC-8893,Logon
{S9A0-A3DP89HG-6719JORU},01/02/2010 07:14:00,CTR0341,PC-6184,Logon
{S6C5-Q8LQ18VJ-5964MXZD},01/02/2010 07:24:53,LRR0148,PC-4124,Logoff
{T4V9-H6HS83AJ-0413XDBH},01/02/2010 07:33:00,ATE0869,PC-1313,Logon
{X8J7-C5RR89HJ-3099MTBF},01/02/2010 07:33:00,NWK0215,PC-8370,Logon
{A3S1-G2TO16YZ-2746OJBC},01/02/2010 07:34:00,HVB0037,PC-7979,Logon
{P3Y3-J4EZ51PP-3037PQQN},01/02/2010 07:37:00,ABC0174,PC-5156,Logon
{O0T8-Z7BV88CG-8773PFKG},01/02/2010 07:37:00,AJR0319,PC-4736,Logon
{R5X8-U7BE31CB-8813MEER},01/02/2010 07:37:00,JKJ0698,PC-1917,Logon
{R8J9-J1VI88YY-2363LSWW},01/02/2010 07:38:00,JCR0172,PC-6713,Logon
{B6U5-D6EI94XX-1850PJXM},01/02/2010 07:40:42,NOB0181,PC-4124,Logon
{H5R1-Y8KO77UR-4210WBRW},01/02/2010 07:46:00,HAD0246,PC-0926,Logon
{P8J8-N0SM22CA-4356ABQB},01/02/2010 07:46:00,RRC0553,PC-6672,Logon
{C8O2-W2WK72JT-7595MCKX},01/02/2010 07:46:55,NOB0181,PC-4124,Logoff
{A4W2-E9VG78GM-9142SACC},01/02/2010 07:48:00,IKP0472,PC-3842,Logon
{L2B2-V4MV73IE-9681TUFQ},01/02/2010 07:49:00,BRS0734,PC-4785,Logon
{Q9H8-Z4OA25HK-4955DEMY},01/02/2010 07:49:05,IKP0472,PC-4124,Logon
{Z4U9-Y5HD56WF-9971WEET},01/02/2010 07:50:00,HPH0075,PC-2417,Logon
{O7E3-S7AO07NC-9501XBDN},01/02/2010 07:52:00,RZC0746,PC-7500,Logon
{G6R4-M3PG67RO-6057NVVO},01/02/2010 07:56:00,ESJ0670,PC-2321,Logon
{A5J9-L3VK40FP-9218RVLH},01/02/2010 07:56:00,IIW0249,PC-0843,Logon
{H8Y6-T5YU02GK-7782UDSS},01/02/2010 07:56:00,JKF0465,PC-6797,Logon
{L5G2-J6DB45UQ-6549MBBE},01/02/2010 07:58:00,AMW0392,PC-6163,Logon
{Y3O8-G3RQ78NY-4956VLZZ},01/02/2010 07:58:29,IKP0472,PC-4124,Logoff
{V9Z3-O9WF77ML-5087YNRM},01/02/2010 08:00:33,IRM0931,PC-4124,Logon
{P6J9-O9VB08UA-4438WYRG},01/02/2010 08:05:00,HSB0196,PC-8001,Logon
{Q0C9-O0SK97VF-2901JTEV},01/02/2010 08:07:00,YIC0195,PC-9353,Logon
{W7W1-Z2GJ48AQ-3263DZPJ},01/02/2010 08:13:00,NAH0503,PC-8267,Logon
{L1D3-W6HU10XA-9256OPXU},01/02/2010 08:13:00,WPR0368,PC-9842,Logon
{R9J0-Y2UO10YB-5176EUWX},01/02/2010 08:15:00,JDC0030,PC-0246,Logon
{Q3W2-Z7JN57XZ-9964UHZP},01/02/2010 08:16:18,IRM0931,PC-4124,Logoff
{F0D6-A3TY28NV-0761OSGG},01/02/2010 08:18:00,HDD0806,PC-6032,Logon
{T5E9-I4LT41MQ-5313JWSE},01/02/2010 08:20:00,AOK0844,PC-4659,Logon
{I1S2-K5OX13ST-9590PKMV},01/02/2010 08:20:00,FKK0055,PC-0435,Logon
{V7A9-Y7LH41ZJ-2646VDXF},01/02/2010 08:20:00,JHP0583,PC-9083,Logon
{Y3V5-Q2UP92TQ-2975NODY},01/02/2010 08:22:00,RAW0915,PC-2113,Logon
{H1M6-G2OL25WR-4072DMLM},01/02/2010 08:24:00,SSJ0784,PC-0840,Logon
{X3S7-X2XU42NR-2762EEXB},01/02/2010 08:29:00,FOB0756,PC-6204,Logon
{O5R3-N0IW89SP-4967IIWF},01/02/2010 08:47:00,CJM0521,PC-6249,Logon
{G9T5-P3PL97SZ-3627KMDI},01/02/2010 08:52:00,HLH0512,PC-2288,Logon
{D2B5-T7KG62LO-3885YEJY},01/02/2010 08:53:00,BQS0525,PC-0269,Logon
{A2A0-L1VB61KD-7527DNFG},01/02/2010 08:54:00,BRB0355,PC-9896,Logon
{K3Q0-Z7YW31RE-2309YJPX},01/02/2010 08:54:00,IAR0694,PC-2804,Logon
{K9P7-X9NQ10UL-4304PVQD},01/02/2010 08:55:00,SMH0291,PC-3571,Logon
{K4R1-D8HW59NT-6976TTAY},01/02/2010 09:00:00,BDI0533,PC-5883,Logon
{Y0J2-Z8LN95PN-5467OUOP},01/02/2010 09:01:00,DAR0885,PC-1312,Logon
{T8J2-R8BN34GQ-6527KDNR},01/02/2010 09:09:00,ALB0892,PC-2744,Logon
{H3B1-S1YW87QV-8953UWJM},01/02/2010 09:55:53,NGF0157,PC-6056,Logon
{S6X4-G0XW88OE-8151WGJR},01/02/2010 09:57:42,IKP0472,PC-3842,Logon
{L4T8-T9IU13OH-2799XSWU},01/02/2010 11:03:39,RRC0553,PC-6672,Logon
{G1G1-I6JC97QS-6708BSTX},01/02/2010 11:21:46,MHH0180,PC-9822,Logon
{H4C6-U0UX24LV-8077DDJK},01/02/2010 11:33:09,LRR0148,PC-4275,Logon
{B3T0-G3JQ49JT-8866ERJV},01/02/2010 11:48:25,AHC0142,PC-8893,Logon
{M5H4-E5NJ35VF-9141ISID},01/02/2010 12:05:32,IRM0931,PC-7188,Logon
{D2E3-U0NC42RV-0947RNRZ},01/02/2010 12:18:56,FOB0756,PC-6204,Logon
{V0G6-H7UK52DH-4499LQOB},01/02/2010 12:21:44,SSJ0784,PC-0840,Logon
{W3J2-Q9AU40KA-1412DSHM},01/02/2010 12:29:57,HAD0246,PC-0926,Logon
{I8R9-W0BO34WJ-8577QEHK},01/02/2010 12:32:14,JHP0583,PC-9083,Logon
{U9K1-X0QS36TU-8757VUGH},01/02/2010 12:32:57,HDD0806,PC-6032,Logon
{T8H4-Q9FD09SQ-9327CYHA},01/02/2010 12:35:36,ATE0869,PC-1313,Logon
{Q8Z4-Q7VH55VA-1705KMJE},01/02/2010 12:39:26,NOB0181,PC-3446,Logon
{N3J3-F4KM92IM-3476IKHZ},01/02/2010 12:50:51,CTR0341,PC-6184,Logon
{Q3H5-A5UB15TA-3431LGCR},01/02/2010 12:58:29,NWK0215,PC-8370,Logon
{R2Q8-N2EM95EL-6983VGJM},01/02/2010 12:59:38,BDI0533,PC-5883,Logon
{B1Q6-K1BR11XT-2750SEDB},01/02/2010 12:59:52,AMW0392,PC-6163,Logon
{H5K4-J2YX40LS-9247ZSPG},01/02/2010 13:15:30,ABC0174,PC-5156,Logon
{X4D6-D0KQ14BH-6203LUIS},01/02/2010 13:19:31,BRB0355,PC-9896,Logon
{D7E9-L9CN00II-5107RCWQ},01/02/2010 13:23:32,HPH0075,PC-2417,Logon
{V8A0-V6HK70PV-4220QEPH},01/02/2010 13:28:33,JDC0030,PC-0246,Logon
{B4C2-V4TY58PB-2006VDDQ},01/02/2010 13:33:14,RZC0746,PC-7500,Logon
{H6S5-F0PE83CU-4922OELX},01/02/2010 14:03:01,FKK0055,PC-0435,Logon
{C0R1-J8TS29QN-8664QKQM},01/02/2010 14:06:20,RAW0915,PC-2113,Logon
{V3C6-Y6ML70RT-0816XMXG},01/02/2010 14:06:32,WPR0368,PC-2173,Logon
{X1A2-X8KM97SR-4368YURY},01/02/2010 14:08:41,WPR0368,PC-2173,Logoff
{L1G4-W7CJ57DC-0759RTXR},01/02/2010 15:46:00,AJR0319,PC-4736,Logoff
