id,date,user,pc,activity
{6D4C2A5739EC44E2BDB54149},06/15/2026 13:49:41,NGF0157,PC-6056,Disconnect
{DC59856BFBDE4DAD86EB5AB8},06/15/2026 16:10:29,NGF0157,PC-6056,Connect
{D681F908E8F44C79A587B083},06/15/2026 09:37:47,LRR0148,PC-4275,Connect
{AE8F3EFCF1AB495A8257E0FC},06/15/2026 09:03:37,LRR0148,PC-4275,Disconnect
{5914A8D17A554E75ABD56B77},06/15/2026 16:22:19,MOH0273,PC-6699,Connect
{B7454AF490F8463697F20E9F},06/15/2026 11:25:21,MOH0273,PC-6699,Disconnect
{028CB4195E28493C907CCDD6},06/15/2026 09:45:18,LAP0338,PC-5758,Connect
{D8E789C962304CB3B459C183},06/15/2026 14:57:34,LAP0338,PC-5758,Connect
{F8475F65C15E4BB69CB48423},06/15/2026 09:17:56,BTR0002,PC-6056,Disconnect
{781C64A4100243378F9EBE40},06/15/2026 16:36:39,BTR0002,PC-6056,Disconnect
{42157DFEA64A4B5A8F7E3BA0},06/15/2026 14:44:55,ACM0001,PC-4275,Disconnect
{90C4E91DE2C54A8DA7108DAD},06/15/2026 12:59:16,ACM0001,PC-4275,Connect
{39EA7B836B374F8E9D1EAB5E},06/15/2026 17:55:09,CNL0003,PC-5758,Disconnect
{554ABB2287A44C28B96AFCE9},06/15/2026 15:21:35,CNL0003,PC-5758,Disconnect
{1620C1B8B30A49B090E2DEF8},06/15/2026 10:40:06,ADM0099,PC-7811,Connect
{8D1FC07851404B2E8C18468E},06/15/2026 16:02:37,ADM0099,PC-7811,Disconnect
{667CF3A2D7E048049FD5C5D0},06/16/2026 08:03:08,NGF0157,PC-6056,Disconnect
{FF2B1A6D9D49435B82AAB35B},06/16/2026 09:30:28,NGF0157,PC-6056,Disconnect
{4F03CAD617E94EADB2E5DEB9},06/16/2026 16:31:38,LRR0148,PC-4275,Disconnect
{B3293D5BB37846A294870737},06/16/2026 11:48:32,LRR0148,PC-4275,Connect
{F1F0BD531B85438BBE85F748},06/16/2026 14:04:21,MOH0273,PC-6699,Connect
{B9FFCE6FCED24252B9C2EF30},06/16/2026 15:18:16,MOH0273,PC-6699,Connect
{9EDC1258DA7141CE8766CDC5},06/16/2026 10:35:46,LAP0338,PC-5758,Disconnect
{6AA5BEC23B964039B77762F3},06/16/2026 14:15:19,LAP0338,PC-5758,Connect
{583113BA10D447D3AAAB0E5A},06/16/2026 12:07:01,BTR0002,PC-6056,Connect
{CC88361EA3FE4FE9B2A45279},06/16/2026 15:58:35,BTR0002,PC-6056,Connect
{9A691C2199804459859819F8},06/16/2026 15:25:08,ACM0001,PC-4275,Disconnect
{DFC964AC259A4AAFB50BA64F},06/16/2026 10:20:15,ACM0001,PC-4275,Disconnect
{FC2F6A9FBFE3470195BDA29F},06/16/2026 17:33:24,CNL0003,PC-5758,Disconnect
{E385794C75154875BCEE95F1},06/16/2026 16:58:34,CNL0003,PC-5758,Disconnect
{1D2CF9B562B34238A9225391},06/16/2026 11:08:30,ADM0099,PC-7811,Disconnect
{42EDC8FFC98E4ADDB6D6F0C7},06/16/2026 08:16:24,ADM0099,PC-7811,Connect
{C4B65B8EF5334A1A8A6C6BC8},06/17/2026 09:06:38,NGF0157,PC-6056,Connect
{2029BD6858C34E6FB71247FC},06/17/2026 09:15:47,NGF0157,PC-6056,Connect
{CB3579E5CB054261BE64950B},06/17/2026 17:29:10,LRR0148,PC-4275,Disconnect
{21211F78E5C241BDA3BAB98F},06/17/2026 17:11:58,LRR0148,PC-4275,Connect
{24EE3296309344ECBD2B0B78},06/17/2026 10:24:45,MOH0273,PC-6699,Connect
{EA4095B66801480789E54A0F},06/17/2026 14:23:06,MOH0273,PC-6699,Connect
{080EC3CB4EE4440398F8F018},06/17/2026 15:48:17,MOH0273,PC-6699,Connect
{E0E0DB4E2D09429488C8E691},06/17/2026 08:30:06,LAP0338,PC-5758,Disconnect
{1057D2D370DD4BBCB9C69EF2},06/17/2026 09:07:53,LAP0338,PC-5758,Connect
{A9BEEB6F846F43CE80132D02},06/17/2026 09:48:46,BTR0002,PC-6056,Disconnect
{3C38C45F92A64B8FAA84677E},06/17/2026 16:06:47,BTR0002,PC-6056,Connect
{E11A3233CFD54856923C6AD2},06/17/2026 22:21:52,ACM0001,PC-4275,Connect
{3207C88AC3D84AD285C46306},06/17/2026 16:44:08,ACM0001,PC-4275,Disconnect
{87ED3663421E4B6C946C9DB7},06/17/2026 16:17:33,CNL0003,PC-5758,Connect
{ECC6821F8CB84FB48857992A},06/17/2026 09:31:29,CNL0003,PC-5758,Disconnect
{984385F5B66B40D6A09AA081},06/17/2026 11:28:19,ADM0099,PC-7811,Disconnect
{2E04EE86A89B4754B03EB091},06/17/2026 10:05:10,ADM0099,PC-7811,Disconnect
{34A5977E763F4DC09910817A},06/18/2026 11:53:51,NGF0157,PC-6056,Disconnect
{9EB300205DEB4E7B9D8A7A38},06/18/2026 11:31:02,NGF0157,PC-6056,Connect
{583FAC7050F64790ACAA18BC},06/18/2026 10:03:25,LRR0148,PC-4275,Disconnect
{8D79633FEBB4462185DA2EBF},06/18/2026 15:00:27,LRR0148,PC-4275,Connect
{9EC0F1266E4446DD9B7662C7},06/18/2026 14:17:46,MOH0273,PC-6699,Disconnect
{7ED21EA0FEAC4CDA950E8D31},06/18/2026 09:12:28,MOH0273,PC-6699,Connect
{B9BD2AD6C4364D16B58946CB},06/18/2026 14:41:05,LAP0338,PC-5758,Connect
{40800A154FB241A4ABB6BF6D},06/18/2026 14:26:50,LAP0338,PC-5758,Disconnect
{D72DAF4332FD44F1ADA8E2EC},06/18/2026 10:31:12,BTR0002,PC-6056,Connect
{7CAE08F8DEEC4358915AD320},06/18/2026 11:22:45,BTR0002,PC-6056,Disconnect
{ACD07E7EE1DE4A1CA54DED06},06/18/2026 17:28:20,ACM0001,PC-4275,Connect
{9B108BC4DFA9406C88AD78A9},06/18/2026 08:06:25,ACM0001,PC-4275,Disconnect
{8A09329BED724DC38A0EC8A0},06/18/2026 14:13:48,CNL0003,PC-5758,Connect
{5221D318C5C545659EC55B10},06/18/2026 16:06:39,CNL0003,PC-5758,Connect
{5E08D9EE87F9476BBB6002EF},06/18/2026 09:05:04,ADM0099,PC-7811,Connect
{15E9A458E74746F19FF6A652},06/18/2026 13:35:04,ADM0099,PC-7811,Connect
{7DDC5CE5A6174B8F9786DE5F},06/19/2026 08:54:32,NGF0157,PC-6056,Connect
{306BFDC683E94A288F9DF309},06/19/2026 15:49:37,NGF0157,PC-6056,Connect
{24BF60F2DB914221B92EB082},06/19/2026 16:38:09,LRR0148,PC-4275,Connect
{7CF419D5A8E349A8AB9C8046},06/19/2026 13:10:46,LRR0148,PC-4275,Disconnect
